"url_host_name","Month","sample_path"
"www.ontario.ca",,"/form/survey-economic-impacts-covid-19"
"www.ontario.ca",,"/form/survey-economic-impacts-covid-19"
"constructionproducts.org.uk",,"/publications/economics/covid-19-market-impact/covid-19-market-impact/"
"jesc.eu","October","/the-african-economy-is-infected-the-economic-impact-of-covid-19-is-worsening-poverty-in-africa/"
"www.thecowboychannel.com",,"/story/42793846/low-temperature-effusion-cells-lhez-market-size-2020-business-share-economic-impact-of-key-players-growth-investigation-with-revenue-covid-19-impact"
"slccc.net","November","/2020/06/29/economic-view-impact-of-covid-19-with-the-federal-reserve-webinar/"
"www.slideteam.net","November","/economic-impact-of-covid-19-on-different-sectors-of-india-contd.html"
"www.ebnet.co.za","November","/single-post/2020/03/26/the-economic-impacts-and-prospects-of-covid-19"
"www.fanews.co.za","November","/article/investments/8/economy/1021/first-quarter-growth-figures-suggest-a-major-economic-setback-when-the-impact-of-covid-19-kicks-in/29493"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/imf-how-asia-can-navigate-the-long-term-economic-impact-of-covid-19/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-economic-and-social-impacts-of-coronavirus-covid-19/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-economic-impact-of-covid-19-on-smes-in-europe/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/the-territorial-economic-impact-of-covid-19-in-the-eu-a-rhomolo-analysis/"
"www.investeurope.eu",,"/news-opinion/coronavirus-covid-19-library-of-resources/tracking-the-economic-impact-of-covid-19-and-mitigation-policies-in-europe-and-the-united-states/"
"eige.europa.eu",,"/lt/lt/publications/gender-equality-and-socio-economic-impact-covid-19-pandemic%3Flang%3Des"
"eige.europa.eu",,"/lt/publications/gender-equality-and-socio-economic-impact-covid-19-pandemic%3Flang%3Den"
"www.vpr.org",,"/post/how-women-are-bearing-brunt-economic-impact-covid-19-vermont"
"weda.org",,"/wedc-report-assesses-ongoing-economic-impact-of-covid-19-pandemic-outlines-recovery-priorities/"
"covidethnographies.com",,"/economic-impact-of-covid-19-on-college-students/"
"covidethnographies.com",,"/economic-impact-of-covid-19-on-college-students/"
"www.cpeonline.com",,"/selfstudycourse/webcast/exploring-the-long-term-economic-impact-of-covid-19-self-study-webinar-%281.5-hours%29"
"www.c19economics.org",,"/data-and-analysis/an-assessment-of-socioeconomic-impact-of-covid-19-pandemic-in-india/"
"www.c19economics.org",,"/data-and-analysis/economic-and-social-impacts-of-covid-19-and-public-health-measures-results-from-an-anonymous-online-survey-in-thailand-malaysia-the-united-kingdom-italy-and-slovenia/"
"www.c19economics.org",,"/data-and-analysis/epidemiological-and-economic-impact-of-covid-19-in-the-us/"
"www.c19economics.org",,"/data-and-analysis/integrated-quantification-of-the-health-and-economic-impacts-of-differing-strategies-to-control-the-covid-19-pandemic/"
"www.c19economics.org",,"/data-and-analysis/modelling-the-economic-impact-of-covid19-under-different-policy-choices-mitigation-versus-suppression-when-time-is-a-scarce-resource/"
"www.c19economics.org",,"/data-and-analysis/socio-economic-and-environmental-impacts-of-covid-19-pandemic-in-pakistan-an-integrated-analysis/"
"www.c19economics.org",,"/data-and-analysis/socio-economic-impact-of-covid-19-pandemic/"
"www.c19economics.org",,"/data-and-analysis/socio-economic-impact-on-covid-19-cases-and-deaths-and-its-evolution-in-new-jersey/"
"www.c19economics.org",,"/data-and-analysis/socioeconomic-impact-of-covid-19-on-investment-trade-and-economic-growth-re-positioning-the-world-economic-preferences/"
"www.c19economics.org",,"/data-and-analysis/the-economic-impacts-of-covid-19-evidence-from-a-new-public-database-built-using-private-sector-data/"
"www.c19economics.org",,"/data-and-analysis/the-global-macroeconomic-impacts-of-covid-19-seven-scenarios/"
"www.c19economics.org",,"/data-and-analysis/the-potential-health-and-economic-impact-of-dexamethasone-treatment-for-patients-with-covid-19/"
"beyondthepandemic.org",,"/2020/07/21/exploring-and-countering-the-economic-impacts-of-covid-19-on-youth-employment/"
"beyondthepandemic.org",,"/2020/07/21/exploring-and-countering-the-economic-impacts-of-covid-19-on-youth-employment/"
"documents.worldbank.org",,"/en/publication/documents-reports/documentdetail/590751590682058272/the-economic-and-social-impact-of-covid-19-education"
"documents.worldbank.org",,"/en/publication/documents-reports/documentdetail/851591634215208306/measuring-the-economic-impact-of-covid-19-with-real-time-electricity-indicators"
"centinel2012.com",,"/2021/02/12/ground-reports-real-life-examples-of-economic-impact-from-covid/"
"centman.com",,"/insights/could-the-economic-impact-of-covid-19-lead-to-deflation"
"castelloextra.com",,"/comarcas/lalcora/falomir-presnta-plan-reiniciemos-alcora-con-medidas-economicas-y-sociales-por-impacto-covid19/"
"castlegarsource.com",,"/news/public-accounts-confirm-economic-impacts-covid-19"
"krullagency.com","July","/sba-offers-disaster-assistance-to-nebraska-small-businesses-economically-impacted-by-the-coronavirus-covid-19/"
"dominicagazette.com",,"/commentary-coping-with-the-economic-impact-of-covid-19-in-dominica-dominica-news-online-3/"
"don411.com",,"/westcoast-black-theatre-troupe-receives-emergency-arts-appreciation-grant-funding-of-30000-from-gulf-coast-community-foundation-in-response-to-economic-impacts-of-covid-19-will-help-wbtt-to-piv/"
"papajackph.com","July","/2020/05/05/economic-impact-of-covid19"
"www.iej.org.za",,"/events/public-webinar-economic-policies-to-tackle-the-negative-impact-of-covid-19-in-south-africa/"
"naacam.org.za",,"/the-economic-impact-of-covid-19-on-the-automotive-value-chain/"
"spiked.co.zw",,"/iom-assesses-socio-economic-impact-of-covid-19-on-returnees-in-zimbabwe/"
"www.duffandphelps.com",,"/insights/publications/litigation-and-disputes/preparing-economic-impact-covid-19-m-and-a-transactions"
"www.washtenawdentalsociety.org","July","/news-ce-events/news-publications/news-detail/2020/05/07/hpi-releases-webinar-on-economic-impact-of-covid-19"
