"url_host_name","Month","sample_path"
"knowledge.uli.org","November","/en/webinars/2020/uli-new-york-assessing-the-economic-impact-of-covid19-with-mark-zandi"
"www.un.org","November","/sites/un2.un.org/files/sg_report_socio-economic_impact_of_covid19.pdf"
"wacities.org","November","/advocacy/News/advocacy-news/2020/07/06/economic-impact-of-the-covid-19-emergency-hit-home-for-cities-and-the-state"
"www.pg.undp.org","November","/content/papua_new_guinea/en/home/library/socio-economic-impact-assessment-of-covid-19-on-papua-new-guinea"
"www.wnypapers.com","October","/news/article/category/2020/05/06/141364/sba-to-make-economic-injury-disaster-loans-available-to-agricultural-businesses-impacted-by-covid-19"
"www.wnypapers.com","October","/news/article/category/2020/06/16/141949/sbas-economic-injury-disaster-loans-advance-program-reopened-to-all-eligible-small-businesses-and-nonprofits-impacted-by-covid-19"
"www.ukibc.com",,"/resources/sector/socio-economic-impact/topic/covid19/type/url/"
"www.ukibc.com",,"/socio-economic-impact-covid19/"
"china-cee.eu",,"/2020/06/02/latvia-economy-briefing-recovering-of-the-economics-of-latvia-after-the-impact-of-covid-19/"
"www.sknis.kn","November","/eccb-governor-in-discussing-economic-impact-of-covid-19-on-the-eastern-caribbean-currency-union-st-kitts-nevis-has-more-buffers-than-most/"
"www.mier.org.my","November","/the-economic-impact-of-covid-19-malaysia/linkedin/company/malaysian-institute-of-economic-research-mier-"
"africaneyereport.com",,"/urban-refugees-struggling-to-survive-as-economic-impact-of-covid19-worsens/javascript.void(0"
"africaneyereport.com",,"/urban-refugees-struggling-to-survive-as-economic-impact-of-covid19-worsens/javascript.void(0);"
"aithority.com",,"/technology/life-sciences/global-disability-inclusion-survey-reports-people-with-disabilities-are-more-negatively-affected-by-the-economic-impact-of-covid-19/"
"www.aithority.com",,"/technology/life-sciences/global-disability-inclusion-survey-reports-people-with-disabilities-are-more-negatively-affected-by-the-economic-impact-of-covid-19/"
"www.touchophthalmology.com",,"/media_gallery/part-1-jorge-l-alio-latest-guidelines-on-clinical-practice-and-the-economical-impact-of-covid-19/"
"livenews.co.nz","September","/2020/04/24/economic-impact-of-covid-19-at-a-glance-stats-nz-media-release/"
"astrellis.com","November","/clinicaltrial/11224/covidcovid19covid-19coronaviruseconomichealthcorona-help-measure-the-health-and-economic-impacts-of-covid-19-join-the-covid-19-registry/"
"app.adpc.net",,"/resources/economic-and-poverty-impact-of-covid-19-sri-lanka-development-update-2021/"
"businesslancashire.co.uk",,"/2021/07/13/new-lancashire-lep-annual-report-analyses-economic-impact-of-covid-19-and-outlines-countys-roadmap-for-recovery/"
"www.businessleader.co.uk",,"/the-economic-impact-of-social-distancing-during-the-spanish-flu-and-what-this-could-mean-after-covid-19/"
"www.businessleader.co.uk",,"/the-economic-impact-of-social-distancing-during-the-spanish-flu-and-what-this-could-mean-after-covid-19/83345/"
"www.africa-newsroom.com",,"/press/facebook-supports-african-smbs-through-economic-impact-programmes-offered-virtually-in-wake-of-covid19-pandemic"
"www.airforce-technology.com",,"/news/poll-suggests-macroeconomic-impact-of-covid-19-will-affect-western-defence-spending-beyond-2021/"
"lhc.ca.gov",,"/report/long-term-economic-impacts-covid-19"
"newsghana.com.gh",,"/angola-and-france-leaders-discuss-economic-impact-of-covid-19/roylexi"
"www.growadamscounty.com","October","/resources-to-mitigate-economic-impacts-from-covid-19/"
"www.jchs.harvard.edu",,"/blog/a-triple-pandemic-the-economic-impacts-of-covid-19-disproportionately-affect-black-and-hispanic-households"
"www.jchs.harvard.edu",,"/blog/using-the-census-bureaus-household-pulse-survey-to-assess-the-economic-impacts-of-covid-19-on-americas-households"
