"url_host_name","Month","sample_path"
"sbe.sonoma.edu","November","/research/wine-business-institute-economic-impact-report-covid-19-wine-and-california-economy"
"www.handling-network.com",,"/microchip-shortage-economic-impact-worse-than-covid-ecg-fvl/@HandlingNetwork"
"www.ie.edu","November","/school-global-public-affairs/about/news/economic-social-impact-covid-19-latin-america-caribbean-role-international-community/"
"mediaroom.iese.edu","November","/global-recession-almost-inevitable-new-report-on-world-economic-impact-of-covid-19/"
"www.vcuhealth.org",,"/news/racial-and-ethnic-minorities-experience-disproportionate-economic-impacts-of-covid-19"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/trackback/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"www.weda.org",,"/wedc-report-assesses-ongoing-economic-impact-of-covid-19-pandemic-outlines-recovery-priorities/"
"eige.europa.eu",,"/lt/lt/publications/gender-equality-and-socio-economic-impact-covid-19-pandemic%3Flang%3Dit"
"eige.europa.eu",,"/lt/lt/publications/gender-equality-and-socio-economic-impact-covid-19-pandemic%3Flang%3Dsl"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"moderndiplomacy.eu",,"/2020/04/24/global-socio-economic-impact-of-covid-19/"
"data.london.gov.uk",,"/download/economic-impact-of-covid-19-sme/551d1b48-a5de-4637-bb49-153d850ca516/GLA%20COVID19%20Economic%20Impact%20Analysis%20Summary.pdf"
