"url_host_name","Month","sample_path"
"newz.ug",,"/drowning-just-below-the-surface-ifrc-research-reveals-magnitude-of-socioeconomic-impacts-of-covid-19/"
"blogs.lse.ac.uk",,"/politicsandpolicy/local-economic-impact-covid19/"
"blog.policy.manchester.ac.uk",,"/posts/2021/11/the-economic-impact-of-covid-19-on-ethnic-minorities-in-manchester/"
"www.nkeconwatch.com",,"/2020/04/10/north-korea-needs-to-counter-the-economic-impacts-of-covid19-but-what-can-it-really-do/"
"www.nkeconwatch.com",,"/2020/04/10/north-korea-needs-to-counter-the-economic-impacts-of-covid19-but-what-can-it-really-do/feed/"
"www.forbes.com",,"/sites/lbsbusinessstrategyreview/2020/12/15/looking-ahead-to-2021-and-the-economic-impact-of-covid-19/"
"www.businessinsider.com",,"/lessons-from-china-west-learn-about-economic-impacts-covid-19-2020-4"
"businessjournaldaily.com",,"/policy-matters-ohio-report-documents-uneven-economic-impact-of-covid/"
"thetentpod.libsyn.com",,"/website/unpacking-the-economic-impact-of-covid-19-with-sarah-may-whitelake-and-capafs-gbenga-ajilore"
"www.onthetablemacon.com",,"/table/economic%2C-social-and%2For-health-impacts-of-covid"
"www.theartnewspaper.com",,"/2020/10/19/new-york-lawmakers-to-discuss-the-economic-impact-of-covid-19-on-cultural-institutions"
"www.mcci.org",,"/en/media-news-events/business-updates/bank-of-mauritius-introduces-additional-measures-to-provide-enhanced-support-to-economic-operators-smes-households-and-individuals-impacted-by-covid-19/"
"www.mcci.org",,"/en/media-news-events/business-updates/survey-by-uneca-on-economic-impact-of-covid-19-on-africa/"
"www.lexmundiprobono.org",,"/news/lex-mundi-pro-bono-foundation-and-world-economic-forum-alliance-help-social-entrepreneurs-overcome-impacts-of-covid-19/"
"www.lexmundiprobono.org",,"/news/lex-mundi-pro-bono-foundation-joins-new-alliance-launched-at-world-economic-forum-to-help-social-entrepreneurs-overcome-impacts-of-covid-19/"
"transport-links.com",,"/download/evaluating-the-economic-impact-and-infection-control-measures-of-covid-19-in-the-public-transport-sector-in-nepal-final-report/"
"wacities.org","October","/advocacy/news/advocacy-news/2020/03/13/legislature-adopts-final-supplemental-budgets-strong-revenue-is-tempered-by-concerns-over-the-economic-impacts-of-covid-19"
"www.wacities.org","October","/advocacy/News/advocacy-news/2020/07/06/economic-impact-of-the-covid-19-emergency-hit-home-for-cities-and-the-state"
"www.blackfootvalleydispatch.com",,"/story/2020/03/18/news/sba-offers-disaster-assistance-to-montana-small-businesses-economically-impacted-by-the-coronavirus-covid-19/1735.html"
"www.blackfootvalleydispatch.com",,"/story/2020/03/25/news/disaster-assistance-now-available-to-all-montana-small-businesses-economically-impacted-by-the-coronavirus-covid-19/1752.html"
"indianf.com",,"/un-to-immediately-address-social-economic-impacts-of-covid-19/"
"www.indiaspend.com",,"/covid-19/economic-impact-of-fresh-covid-lockdowns-will-be-less-pronounced-740773"
"www.building1.us",,"/post/the-economic-impact-of-covid-19-a-real-estate-perspective"
"foodfoundation.org.uk",,"/press-release/demand-free-school-meals-rises-sharply-economic-impact-covid-19-families-bites"
"www.myripon.com",,"/post/city-of-ripon-addresses-economic-impact-during-covid-19"
"www.econostream-media.com",,"/news/2021-01-12/ecb%E2%80%99s_de_cos:_economic_impact_to_follow_covid-19_vaccination_with_lag-2.html"
"www.ecorys.com",,"/united-kingdom/latest-news/revealed-economic-impact-covid-19-uk-sport-industry-four-nations-may"
"www.eldementals.com",,"/post/an-update-on-social-security-economic-impact-payments-relating-to-covid-19"
"marquezcomelab.com",,"/series-collections/financial-economic-impact-of-covid19"
"www.sowetanlive.co.za",,"/sport/soccer/2020-04-02-economic-impact-of-covid-19-hits-football-i-had-to-pay-my-players-40-of-their-salaries-last-month/"
"www.fticonsulting.com",,"/emea/insights/articles/health-economic-impact-covid-19"
"techeconomy.ng",,"/2020/05/atcon-set-for-discussions-on-economic-impact-of-covid-19-on-telecoms/"
"harris.uchicago.edu",,"/news-events/news/research-professor-robert-kaestner-discusses-economic-impact-new-covid-variants"
"harris.uchicago.edu",,"/news-events/news/research-professor-robert-kaestner-discusses-economic-impact-new-covid-variants"
"extension.unh.edu",,"/blog/2020/03/resources-addressing-community-business-economic-impacts-covid-19"
"www.handling-network.com",,"/microchip-shortage-economic-impact-worse-than-covid-ecg-fvl/"
"hbtvghana.com",,"/business-news/bank-of-ghanas-mpc-meets-from-today-to-assess-economic-impact-of-covid-19/"
"www.tickmill.com",,"/th/education/infographics/global-economic-impact-of-covid-19"
"www.tifaresearch.com",,"/round-three-survey-on-the-social-economic-and-public-health-impact-of-covid-19/"
