"url_host_name","Month","sample_path"
"www.yukonpartycaucus.ca","March","/liberals_oppose_committee_to_address_economic_impacts_of_covid_19"
"www.yukonpartycaucus.ca","March","/yukon_liberals_refuse_to_update_economic_outlook_to_reflect_impact_of_covid_19"
"www.ie.edu","November","/school-global-public-affairs/about/news/economic-social-impact-covid-19-latin-america-caribbean-role-international-community/"
"mediaroom.iese.edu","November","/global-recession-almost-inevitable-new-report-on-world-economic-impact-of-covid-19/"
"www.silicon.co.uk","November","/press-release/m-science-launches-customizable-dashboard-to-measure-economic-impact-of-covid-19"
"www.silicon.co.uk","November","/press-release/shift4-payments-launches-shift4cares-com-to-raise-over-200-million-for-small-businesses-and-highlight-economic-impact-of-covid-19"
"www.silicon.co.uk","November","/press-release/thinkwhy-presents-economic-impact-of-covid-19-on-the-labor-market-navigation-for-stability-and-recovery-webinar"
"www.simplyconsultingsimply.co.uk","November","/2020/05/06/green-stimulus-can-stimulate-the-recovery-a-fascinating-and-optimistic-view-on-how-best-to-recover-from-the-economic-impact-of-the-covid-19-crisis/"
"www.prokerala.com","November","/news/photos/pm-modi-italy-pm-discuss-health-economic-impact-of-covid-19-2521701.html"
"www.eandb-education.com.au","August","/post/the-economic-impact-of-covid-19-on-consumers"
"www.newealth.com.au","August","/2020/06/25/imf-economic-impact-covid-19/"
"www.newealth.com.au","August","/2020/07/23/returning-people-to-the-workplace-safely-economic-impact-covid-19/"
"www.news.com.au","August","/finance/economy/rba-warns-fiscal-support-needed-to-limit-economic-impacts-of-covid19/news-story/81354579768eab9db0fe3d12c57ba30e"
"pasoroblespress.com","November","/news/business/economic-vitality-corporation-of-san-luis-obispo-county-assists-manufacturers-impacted-by-covid-19/"
"cms.law","August","/en/esp/publication/covid-19-guide-analysing-royal-decree-law-8-2020-on-urgent-and-extraordinary-measures-to-address-the-economic-and-social-impact-of-covid-19"
"www.weiner.law","August","/nj-law-blog/new-jersey-economic-assistance-to-businesses-impacted-by-the-covid-19-pandemic/"
"www.amchamchile.cl","September","/en/2020/03/deloitte-publica-reporte-con-medidas-economicas-ante-el-impacto-del-covid-19/"
"www.air-worldwide.com","August","/publications/white-papers/navigating-the-uncertainty-economic-impact-of-covid-19/"
"tldrnews.co.uk",,"/tldr-uk/the-economic-impact-of-covid-so-far-is-coronavirus-causing-a-global-recession/"
"www.ons.gov.uk",,"/economy/economicoutputandproductivity/output/datasets/businessimpactofcovid19surveybics/current"
"www.ons.gov.uk",,"/economy/economicoutputandproductivity/output/datasets/businessimpactofcovid19surveybicsresults"
"cy.ons.gov.uk",,"/economy/economicoutputandproductivity/output/datasets/businessimpactofcovid19surveybics"
"cy.ons.gov.uk",,"/economy/economicoutputandproductivity/output/datasets/businessimpactofcovid19surveybicsresults"
"mysecuritymarketplace.com","March","/v2-whitepapers/the-global-macroeconomic-impacts-of-covid19-seven-scenarios/"
"anacgabon.org","September","/economic-impact-assessment-of-covid-19-on-the-airport-business.html"
"www.coe.int","September","/web/pompidou/-/full-record-of-the-webinar-on-the-economic-impact-of-covid-19-on-drug-policies-is-now-available"
"www.inman.com","August","/2020/07/10/east-coast-markets-most-vulnerable-to-economic-impacts-of-covid-19/"
"www.innowatts.com","August","/news_events/innowatts-reveals-economic-impact-covid-19-crisis/"
"tamil.indianexpress.com","August","/explained/a-new-socioeconomic-impact-of-covid-19-survey-205489/"
"www.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"news.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"research4kids.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"tbr.ie",,"/2020/12/03/demis-basic-business-questions-what-has-been-the-economic-impact-of-covid-19-on-trinity/"
"westerndevelopment.ie",,"/insights/regional-economic-impact-of-covid-19-2020-in-economic-statistics/"
"westerndevelopment.ie",,"/policy/publications/regional-economic-impact-of-covid-19-2020-in-economic-statistics/"
"news.uchicago.edu",,"/story/chicago-booths-2022-economic-outlook-events-examine-impact-covid-19"
"scholars.okstate.edu",,"/en/publications/economic-impacts-of-covid-19-on-revenues-of-the-state-of-oklahoma"
"sbe.sonoma.edu",,"/research/wine-business-institute-economic-impact-report-covid-19-wine-and-california-economy"
"www.canada.ca",,"/en/department-finance/news/2020/03/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19.html"
"www.canada.ca",,"/en/department-finance/news/2020/03/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19.html"
"www.canada.ca",,"/en/economic-development-southern-ontario/news/2020/11/government-of-canada-investments-in-digital-main-street-support-businesses-and-students-to-weather-the-impacts-of-covid-19-and-prepare-for-future-g.html"
"www.canada.ca",,"/en/social-sciences-humanities-research/news/2020/09/latest-covid-19-research-investment-supports-knowledge-exchange-on-social-cultural-and-economic-impact-of-covid-19.html"
"canwcc.ca",,"/event/group-discussion-social-and-economic-impacts-of-the-covid-19-pandemic/"
"www.thecowboychannel.com",,"/story/42793846/low-temperature-effusion-cells-lhez-market-size-2020-business-share-economic-impact-of-key-players-growth-investigation-with-revenue-covid-19-impact"
"www.madeinalabama.com","March","/news/sba/sba-offers-disaster-assistance-to-alabama-small-businesses-economically-impacted-by-the-coronavirus-covid-19/"
"www.ipsnews.net","November","/2020/04/the-economic-impact-of-covid-19-on-developing-countries/"
"hanoitimes.vn","November","/vietnam-stays-mindful-of-economic-impacts-in-covid-19-fight-313693.html"
"uintacountyherald.com","August","/article/state-auditor-addresses-economic-impacts-of-covid-19"
"acwr.net",,"/understanding-the-economic-impact-of-covid-19-on-culture-workers/"
"datascience.deib.polimi.it","November","/periscope-the-eu-project-on-socio-economic-and-behavioral-impacts-of-the-covid-19-pandemic/"
"bertmulder.com","November","/2020/03/28/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19/"
