"url_host_name","Month","sample_path"
"www.pmdnews.lk",,"/en/president-discusses-economic-impact-of-covid-19-pandemic-with-central-bank-officials/"
"engineeringuk.com",,"/research/engineering-insights-beta/the-economic-impact-of-covid-19-on-uk-engineering-enterprise/"
"www.moritthock.com",,"/u-s-small-business-administration-the-sba-to-provide-economic-injury-disaster-loans-to-eligible-small-businesses-that-have-been-impacted-by-the-coronavirus-covid-19/"
"go.ind.media",,"/e/546932/er-economic-impact-of-covid-19/l7y7bh/903733878"
"go.ind.media",,"/e/546932/er-economic-impact-of-covid-19/l7y7bh/903733932"
"go.ind.media",,"/e/546932/er-economic-impact-of-covid-19/l7y7bh/903734082"
"www.wmcactionnews5.com",,"/2020/05/19/graceland-lays-off-employees-due-economic-impact-covid-/"
"haqqi.info",,"/en/haqqi/research/through-women%EF%BF%BD%EF%BF%BD%EF%BF%BDs-eyes-socioeconomic-impact-covid-19-women-jordan-one-year-crisis"
"www.reliablepapers.com",,"/economic-impact-of-covid-19-on-the-irish-economy-discuss-2/"
"www.researchaffiliates.com",,"/en_us/publications/video/791-the-economic-impact-of-covid-19-part-i.html"
"www.helixmr.com",,"/2020-information-technology-economic-impact-of-covid-19-study/"
"www.vcuhealth.org",,"/news/racial-and-ethnic-minorities-experience-disproportionate-economic-impacts-of-covid-19"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/trackback/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
"virginiapublicradio.org",,"/2020/12/18/the-economic-impact-of-covid-19-is-hurting-certain-parts-of-virginia-more-than-others/"
