"url_host_name","Month","sample_path"
"www.crown.org",,"/podcast/the-economic-impact-of-covid-19-episode-1/%EF%BF%BD%EF%BF%BD%EF%BF%BDhttps:/www.googletagmanager.com/ns.html"
"www.moritthock.com",,"/u-s-small-business-administration-the-sba-to-provide-economic-injury-disaster-loans-to-eligible-small-businesses-that-have-been-impacted-by-the-coronavirus-covid-19/"
"www.bcrea.bc.ca","March","/economics/sketching-out-the-potential-impact-of-covid-19-on-the-bc-housing-market/"
"www.pbcommercial.com",,"/news/20200801/rice-acreage-may-cushion-economic-impacts-of-covid-on-farms-experts-say"
"eclac.org",,"/en/publications/45603-report-economic-impact-coronavirus-disease-covid-19-latin-america-and-caribbean"
"www.24news.ca","May","/the-news/economic-news/448953-ontario-to-launch-virtual-training-portal-for-tourism-hospitality-workers-impacted-by-covid-19"
"acairports.ca","May","/news/federal-financial-relief-essential-for-atlantic-canadas-airports-%E2%80%A8to-overcome-economic-impact-of-covid-19/"
"casino.buzz","May","/2020/03/20/aga-ceo-statement-on-economic-impact-of-covid-19-on-u-s-casino-gaming-industry/"
"acs-aec.ca","May","/en/events/the-economic-and-social-impacts-of-covid-19-on-newcomers-to-canada/"
"ablewealth.co","May","/blog/economic-impact-of-covid-19-3-next-steps-for-those-struggling-financially"
"connolecarlisle.com.au","May","/covid-19-economic-stimulus-package-what-is-it-and-how-will-it-impact-you/"
"www.rawpixel.com",,"/image/2309315/free-illustration-psd-background-paper-cut-economic-impact-covid-19"
"rajiasacademy.com",,"/2020/03/28/28th-march-economic-impacts-of-covid-19/"
"rajiasacademy.com",,"/2020/03/28/28th-march-economic-impacts-of-covid-19/"
"www.diarioelpulso.cl","May","/2020/03/19/gobierno-anuncia-medidas-economicas-para-proteger-a-las-familias-de-chile-por-el-impacto-del-covid-19/"
"www.dlapiper.cl","May","/2020/04/02/tax-measures-aimed-to-reduce-the-economic-impact-created-by-covid-19/"
"www.dlapiper.cl","May","/2020/04/07/legal-alert-tax-measures-aimed-to-reduce-the-economic-impact-created-by-covid-19/"
"104.237.150.195","March","/news-analysis-and-views/economic-impact-of-covid-19"
"exed.bschool.cuhk.edu.hk",,"/2020/03/19/measuring-the-chinese-economic-impact-of-covid-19/"
"keia.org",,"/commentary/the-peninsula/2020/09/economic-impact-covid-bolsters-samsungs-legal-position/"
"keia.org",,"/the-peninsula/economic-impact-covid-bolsters-samsungs-legal-position/"
"blog.keia.org",,"/2020/09/economic-impact-covid-bolsters-samsungs-legal-position/"
"newsfor.id",,"/indonesia-boosts-tax-incentives-to-limit-economic-impact-from-covid/"
"knti.or.id",,"/the-socio-economic-impact-of-small-scale-fisher-and-aquaculture-in-the-covid-19-outbreak/"
"mountainx.com",,"/blogwire/united-way-requests-nc-families-complete-survey-to-assess-economic-impact-of-covid-19/"
"www.fccib.net",,"/news/n/news/economic-plan-to-mitigate-impact-of-covid-19.html"
"www.gpltax.com","May","/covid-19/why-the-economic-impact-payment-amount-could-be-different-than-anticipated/"
"www.gpltax.com","May","/covid-19/why-the-economic-impact-payment-amount-could-be-different-than-anticipated/"
"www.gronenonline.com","May","/_gronen1/2020/04/28/post-covid-19-economic-and-social-impact-in-india/"
"www.graburdeals.com","May","/business/what-will-be-the-global-economic-impact-due-to-covid-19/"
"www.comparethemarket.com",,"/media-centre/news/more-than-two-thirds-of-families-with-children-say-economic-impact-of-covid-19-lockdown-will-have-long-term-impact-on-household-finances/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"zainabusman.net",,"/2020/11/25/can-safety-nets-ease-the-social-and-economic-impacts-of-covid-19-in-africa/"
"gentrycpa.com","May","/covid-19-economic-impact-payments-for-beneficiaries/"
"x29.co",,"/mehmet/category/economic-impact-of-covid/"
"aninews.in",,"/news/world/asia/nam-countries-must-work-to-reduce-the-socio-economic-impact-of-covid-19-on-vulnerable-sections-muraleedharan20201009232511"
"www.aninews.in",,"/news/world/others/regressive-activities-like-support-to-terrorism-have-increased-worsening-the-socio-economic-impact-of-covid-19-india-at-un20201120022017"
"theamazonpost.com","May","/ecuadorian-president-unveils-steps-to-cushion-economic-impact-of-covid-19-xinhua/"
"cabar.asia",,"/en/is-tajikistan-ready-for-the-economic-and-social-impact-of-the-covid-19-pandemic/"
"globalcompact.at",,"/sg-report-socio-economic-impact-of-covid19"
"www.ashcroftcachecreekjournal.com","May","/opinion/column-economic-impact-of-covid-19-will-be-enormous-and-difficult-to-estimate/"
"www.astraasia.net",,"/post/the-social-economic-impact-of-covid19"
"www.villadeiscar.es",,"/el-gobierno-moviliza-18-225-millones-de-euros-en-un-plan-de-medidas-economicas-para-mitigar-el-impacto-del-covid-19/"
"mongoradio.es",,"/creama-realiza-un-informe-socioeconomico-sobre-el-impacto-del-covid-19-en-la-marina-alta/"
"www.monovar.es",,"/publicacion-de-decretos-de-concesion-de-ayudas-al-tejido-economico-local-para-hacer-frente-al-impacto-del-covid-19/"
"www.sba.gov",,"/about-sba/sba-newsroom/press-releases-media-advisories/sba-make-economic-injury-disaster-loans-available-us-agricultural-businesses-impacted-covid-19"
"www.hamiltonproject.org","May","/blog/covid_19_and_the_u.s_economy_faq_on_the_economic_impact_policy_response"
"www.haplegal.org","May","/happening/ssi-recipients-will-receive-automatic-covid-19-economic-impact-payments/"
"gabb.org","May","/dealing-with-covid-19s-economic-impact-planning-and-communication-are-key/"
"careerct.com",,"/grubhub-and-major-cities-across-the-u-s-launch-economic-relief-effort-up-to-100-million-for-independent-restaurants-and-delivery-partners-impacted-by-covid-19/"
"careerhawaii.com",,"/grubhub-and-major-cities-across-the-u-s-launch-economic-relief-effort-up-to-100-million-for-independent-restaurants-and-delivery-partners-impacted-by-covid-19/"
