"url_host_name","Month","sample_path"
"www.crystolenergy.com","September","/events/imf-mena-regional-economic-outlook-panel-discussion-on-the-impact-of-covid-19-and-oil-price-shocks-and-the-way-forward/"
"www.culturebanx.com","September","/cbx-daily/2020/3/17/the-economic-impact-of-covid-19-will-hit-minorities-the-hardest"
"mountain-home.us","September","/news/sba-s-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"respondfirst.com.au","July","/articles/2020-03-23-what-are-the-economic-impacts-of-covid-19-on-food-businesses"
"esacentral.org.au","July","/book-event/42629/the-economic-impact-of-the-covid-19-epidemic-online-only"
"esacentral.org.au","July","/event/42629/the-economic-impact-of-the-covid-19-epidemic-online-only"
"www.djournal.com","September","/opinion/sid-salter-economic-impacts-of-covid--will-strain-mississippi/article_1ecee0b9-62f3-5e71-a255-8305070e15a2.html"
"www.prnewswire.com","September","/news-releases/grubhub-and-major-cities-across-the-us-launch-economic-relief-effort-up-to-100-million-for-independent-restaurants-and-delivery-partners-impacted-by-covid-19-301022993"
"www.ultimoinstante.com.br","July","/ultimas-noticias/noticias-destaque/indicadores-resumo-economico-global-e-os-impactos-da-covid-19/317142/"
"www.aircraftinteriorsinternational.com","September","/industry-opinion/the-economic-impact-of-covid-19-travel-bans.html"
"www.mecep.org","September","/tracking-the-economic-impact-of-covid-19-in-maine/"
"greaterabq.com",,"/lfc-weighs-in-new-mexicos-legislative-finance-committee-issues-white-paper-on-health-and-economic-impact-of-covid-19/page/2/"
"greaterabq.com",,"/lfc-weighs-in-new-mexicos-legislative-finance-committee-issues-white-paper-on-health-and-economic-impact-of-covid-19/page/3/"
"greaterabq.com",,"/lfc-weighs-in-new-mexicos-legislative-finance-committee-issues-white-paper-on-health-and-economic-impact-of-covid-19/page/40/"
"markets.businessinsider.com","July","/news/stocks/sikka-software-announces-new-service-empowering-retail-healthcare-to-rebound-from-the-economic-impact-of-the-covid-19-pandemic-1029276348"
"insurancenewsnet.com","July","/innarticle/economic-impact-of-covid-19-threatens-insurance-portfolios"
"insurancenewsnet.com","July","/innarticle/economic-impact-of-covid-19-threatens-insurance-portfolios"
"www.law.berkeley.edu",,"/research/consumer-law-economic-justice/projects/consumer-protection-guides-covid-19/issue-iii-economic-impact-payments-stimulus-checks-covid-19/"
"treasury.go.ke",,"/media-centre/news-updates/722-launch-of-the-report-of-the-survey-on-socio-economic-impact-of-covid-19-on-households.html"
"www.treasury.go.ke",,"/media-centre/news-updates/722-launch-of-the-report-of-the-survey-on-socio-economic-impact-of-covid-19-on-households.html"
"www3.ciccp.es","July","/nota-informativa-relativa-a-las-medidas-urgentes-extraordinarias-de-caracter-economico-laboral-tributario-y-administrativo-adoptadas-para-hacer-frente-al-impacto-economico-y-social-del-covid-19/"
"impact.jpmorganchase.com","July","/institute/research/small-business/the-economic-impacts-of-covid-19-on-small-business"
"institute.jpmorganchase.com","July","/institute/research/small-business/the-economic-impacts-of-covid-19-on-small-business"
"www.porto.pt","July","/http:/www.porto.pt/noticias/esta-aprovado-o-novo-pacote-de-medidas-economicas-para-fazer-face-ao-impacto-da-covid-19-"
"www.thelasallenetwork.com","July","/lasalle-network-blog/global-economic-impact-covid-19/"
"downtownlongbeach.org","July","/sba-offers-disaster-assistance-to-california-small-businesses-economically-impacted-by-the-coronavirus-covid-19/"
"johnhopebryant.com","September","/2020/06/operation-hope-economic-impact-now-totals-more-than-4-million-since-onset-of-covid-19-with-addition-of-new-250k-mini-grant-program.html"
"johnhopebryant.com","September","/2020/06/operation-hope-economic-impact-now-totals-more-than-4-million-since-onset-of-covid-19-with-addition-of-new-250k-mini-grant-program.html"
"johnhopebryant.com","September","/2020/06/operation-hope-economic-impact-now-totals-more-than-4-million-since-onset-of-covid-19-with-addition-of-new-250k-mini-grant-program.html"
"events.ie.edu","September","/event/master-class-economic-impact-of-covid-for-undergrads"
"events.jhu.edu","September","/form/the-economic-impacts-of-covid-19"
"www.marshall.edu","September","/ucomm/2020/04/06/mu-business-dean-available-for-interviews-about-economic-impact-of-covid-19/"
"www.italchamber.org","September","/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.italchamber.org","September","/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"stateofreform.com","September","/5-things/2020/09/5-things-alaska-economic-impacts-of-covid-jim-capretta-medicaid-access/"
"www.statista.com","September","/study/71343/economic-impact-of-the-coronavirus-covid-19-pandemic-/"
"www.statista.com","September","/study/72126/economic-impact-of-the-coronavirus-covid-19-in-italy-/"
"www.statista.com","September","/study/72154/economic-impact-of-the-coronavirus-covid-19-in-france-/"
"es.statista.com","September","/estudio/71343/economic-impact-of-the-coronavirus-covid-19-pandemic/"
"es.statista.com","September","/estudio/72126/economic-impact-of-the-coronavirus-covid-19-in-italy/"
"es.statista.com","September","/estudio/72154/economic-impact-of-the-coronavirus-covid-19-in-france/"
"bestnewsghana.com","September","/the-dire-economic-impact-of-covid-19-hotel-occupancy-drops-from-70-to-20-percent/"
"xn--l3cz3ajb3d4g.com","September","/economic-impact-of-covid-19-tdri-eis-12-may-2020"
"www.app.com.pk","September","/national/national/germany-backs-pak-efforts-to-mitigate-socioeconomic-impacts-of-covid-19-envoy/"
"www.bccprogramme.org","September","/1/post/2020/04/the-economic-impact-of-the-covid19-on-emerging-economies-what-do-we-know-and-what-are-the-challenges.html"
"www.bccprogramme.org","September","/1/post/2020/04/the-economic-impact-of-the-covid19-on-emerging-economies-what-do-we-know-and-what-are-the-challenges.html"
"taiwanenglishnews.com","September","/taiwan-shows-lowest-economic-impact-due-to-covid-19-among-38-countries-analysed/"
"taiwanenglishnews.com","September","/taiwan-shows-lowest-economic-impact-due-to-covid-19-among-38-countries-analysed/"
"taiwanenglishnews.com","September","/taiwan-shows-lowest-economic-impact-due-to-covid-19-among-38-countries-analysed/"
"taiwanenglishnews.com","September","/taiwan-shows-lowest-economic-impact-due-to-covid-19-among-38-countries-analysed/"
"covid19central.ca","July","/global-impact/2020/04/17/the-global-macroeconomic-impacts-of-covid-19-seven-scenarios/"
"www.crestonvalleyadvance.ca","July","/opinion/column-economic-impact-of-covid-19-will-be-enormous-and-difficult-to-estimate/"
"philadelphiafed.org","September","/covid-19/covid-19-research/tracking-economic-impacts-of-the-covid-19-outbreak"
"www.hispantv.com",,"/showepisode/etiquetaje/etiquetaje-alba-tcp-redobla-solidaridad-economica-ante-impacto-de-covid-19/58707"
"www.finchannel.com","September","/business/finance/77847-486-million-in-world-bank-financing-for-europe-and-central-asia-countries-to-address-health-economic-impacts-of-covid-19"
"www.jeffersonmatters.org","July","/sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.china-briefing.com","July","/news/social-economic-impact-covid-19-china-recovery-potential/"
"www.anchoragepress.com","September","/bulletin/the-wave-food-program-delivers-economic-and-food-relief-to-communities-impacted-by-covid-19/article_0d214ad2-d1e2-11ea-b941-e7c4f2ec15bf.html"
"www.cityscape-intelligence.com","July","/residential/uae-economic-stimulus-package-offset-impact-covid-19"
"baringa.com",,"/en/insights-news/points-of-view/covid-19-the-seismic-economic-impact-of-covid-19-o/"
"bdblaw.com",,"/events/economic-impact-of-covid-19"
"www.bdblaw.com",,"/events/economic-impact-of-covid-19"
"www.next-csp.eu",,"/qgk8u5f0/economic-impact-of-covid-19-in-world-wikipedia-2402c0"
"www.phc.ox.ac.uk",,"/research/health-economics-research/economic-impacts-of-covid-19-evidence-from-the-emis-covid-19-symptom-surveillance-tool/"
"www.deval.org",,"/en/blogitem/economic-integration-into-host-communities-in-times-of-covid-19-how-to-ease-the-impact-of-covid-19-on-displaced-populations.html"
"www.curt.org",,"/product/economic-impacts-of-covid-19/"
"txylo.com","September","/dtx/san-antonio-financial-and-housing-recovery-center-to-help-households-recovering-from-economic-impacts-of-covid-19-txylo-10079474/"
"tysonstoday.com","September","/2020/governor-northam-announces-70-million-rebuild-va-economic-recovery-fund-for-small-businesses-nonprofits-impacted-by-covid-19/"
"tysonstoday.com","September","/2020/governor-northam-announces-70-million-rebuild-va-economic-recovery-fund-for-small-businesses-nonprofits-impacted-by-covid-19/"
"newsroom.transunion.hk","September","/hong-kong-consumer-credit-market-continues-to-cool-as-economic-impact-of-covid-19-persists/"
"voxeu.org","September","/article/economic-impact-covid-19-europe-and-us"
"www.voxeu.org","September","/article/economic-impact-covid-19-europe-and-us/"
"voxeu.org","September","/article/economic-impact-covid-19-europe-and-us/"
"www.voxeu.org","September","/article/economic-impact-covid-19-europe-and-us/"
"wacities.org","September","/advocacy/News/advocacy-news/2020/07/06/economic-impact-of-the-covid-19-emergency-hit-home-for-cities-and-the-state"
"www.weda.org","September","/wedc-report-assesses-ongoing-economic-impact-of-covid-19-pandemic-outlines-recovery-priorities/(https:/gotoltc.edu"
"www.weda.org","September","/wedc-report-assesses-ongoing-economic-impact-of-covid-19-pandemic-outlines-recovery-priorities/www.marshfieldclinic.org"
"www.thetelegram.com","September","/business/local-business/st-johns-and-metro-area-businesses-feeling-economic-impact-of-covid-19-425650/"
"kcanimalhealth.thinkkc.com","September","/news/news-releases/2020/03/23/go-topeka-announces-up-to-$2m-in-new-economic-stimulus-for-businesses-workers-impacted-by-covid-19"
"forbes.com","September","/sites/irenelevine/2020/04/28/will-small-tour-operators-survive-the-economic-impact-of-covid-19/"
"www.forexfactory.com","September","/news/1016712-charts-the-economic-impact-of-covid-19-in-the/hit"
"measuremarketing.net","September","/staying-afloat-in-the-storm-surviving-the-economic-impact-of-covid-19/"
"nwasianweekly.com","September","/2020/03/commentary-letter-urging-you-to-advocate-for-bipartisan-efforts-to-address-the-economic-impacts-of-covid-19/"
"iium.edu.my","September","/ar/events/show/the-socio-economic-impacts-of-covid-19-in-malaysia"
"iium.edu.my","September","/en/events/show/the-socio-economic-impacts-of-covid-19-in-malaysia"
"iium.edu.my","September","/en/events/show/the-socio-economic-impacts-of-covid-19-in-malaysia"
