"url_host_name","Month","sample_path"
"www.qcoss.org.au",,"/qcoss-analysis-shows-regional-households-are-hard-hit-by-the-economic-impacts-of-covid/"
"www.websterchamber.com",,"/resources-economic-impact-of-covid-19"
"www.wnypapers.com","October","/news/article/category/2020/05/06/141364/sba-to-make-economic-injury-disaster-loans-available-to-agricultural-businesses-impacted-by-covid-19"
"www.wnypapers.com","October","/news/article/category/2020/06/16/141949/sbas-economic-injury-disaster-loans-advance-program-reopened-to-all-eligible-small-businesses-and-nonprofits-impacted-by-covid-19"
"www.wboc.com",,"/story/42303013/cast-releases-new-commentary-on-economic-impacts-of-covid-19-on-food-and-agricultural-markets"
"www.wboc.com",,"/story/42737277/confectionery-and-candy-processing-equipment-market-size-2020-business-share-economic-impact-of-key-players-growth-investigation-with-revenue-covid"
"globaladvisors.biz",,"/2020/12/28/heres-the-first-africa-wide-survey-of-the-economic-impact-of-covid-19-on-cultural-industries/"
"globaladvisors.biz",,"/2020/12/28/heres-the-first-africa-wide-survey-of-the-economic-impact-of-covid-19-on-cultural-industries/"
"louisianabred.blog",,"/2020/05/05/survey-equine-industry-economic-impact-of-covid-19/"
"www.rbcwealthmanagement.com",,"/ca/fr/cmp/understanding-the-economic-impact-of-covid-19"
"rbfirehose.com",,"/2020/11/29/the-economic-impacts-of-covid-19-evidence-from-a-new-public-database-built-using-private-sector-data-opportunity-insight/"
"www.rcnky.com",,"/articles/2020/07/09/economic-impact-covid-19-nku-59-million"
"www.business-humanrights.org","October","/en/csos-call-on-govts-brands-suppliers-to-urgently-mitigate-health-economic-impacts-on-60-million-garment-workers-bearing-brunt-of-covid-19-crisis"
"citiesspeak.org","October","/2020/07/15/local-leaders-racing-against-the-economic-impact-of-covid/"
"ciudadesiberoamericanas.org","October","/ciudad-de-madrid-analisis-socioeconomico-del-impacto-del-confinamiento-por-la-crisis-covid19/"
"www.centernyc.org","October","/reports-briefs/2020/4/15/the-new-strain-of-inequality-the-economic-impact-of-covid-19-in-new-york-city"
"antreprenorinromania.ro",,"/consiliul-national-al-imm-urilor-din-romania-solicita-sprijin-economic-pentru-impactul-covid-19/"
"allpartywritersgroup.co.uk",,"/resources/alcs-submission-to-treasury-select-committee-economic-impact-of-covid-19-inquiry/"
"allpartywritersgroup.co.uk",,"/resources/soa-submission-to-treasury-select-committee-inquiry-into-the-economic-impact-of-covid-19/"
"newsfor.id",,"/indonesia-boosts-tax-incentives-to-limit-economic-impact-from-covid/"
"knti.or.id",,"/the-socio-economic-impact-of-small-scale-fisher-and-aquaculture-in-the-covid-19-outbreak/"
"coronanigeria.com",,"/2020/04/financial-economic-impact-covid-19-nigeria/"
"coronanigeria.com",,"/2020/04/financial-economic-impact-covid-19-nigeria/"
"coronanigeria.com",,"/2020/04/financial-economic-impact-covid-19-nigeria/"
"coronanigeria.com",,"/2020/04/financial-economic-impact-covid-19-nigeria/"
"coronanigeria.com",,"/2020/04/financial-economic-impact-covid-19-nigeria/"
"exed.bschool.cuhk.edu.hk",,"/2020/03/19/measuring-the-chinese-economic-impact-of-covid-19/"
"www.lolwe.tv",,"/8445/national-treasury-cs-during-the-launch-of-the-report-on-socio-economic-impact-of-covid-19-on-households/business/cedrick/"
"calhouncountyjournal.com","March","/economic-impact-of-covid-19/"
"thelistwire.usatoday.com",,"/lists/college-towns-that-face-biggest-economic-impact-due-to-covid-19/"
"www.euniceooi.com","March","/mw-property-news/2020/3/186799/economical-impact-of-covid-19-will-be-limited-kena"
"breakthroughattorneys.co.tz",,"/bot-measures-to-remedy-and-cushion-the-economic-impacts-of-covid-19-in-tanzania/"
"www.ate.or.tz",,"/news_events/global-macroeconomic-impacts-covid-19"
"ate.or.tz",,"/news_events/global-macroeconomic-impacts-covid-19"
"www.kochiesbusinessbuilders.com.au","October","/tag/economic-impact-covid/"
"www.fortlauderdale.gov",,"/departments/sustainable-development/economic-community-investment/business-resources/fort-lauderdale-business-impact-survey-covid-19"
"www.centerforfinancialinclusion.org",,"/designing-municipal-cash-transfer-programs-to-mitigate-the-economic-impact-of-covid-19/"
"www.centernyc.org",,"/reports-briefs/2020/4/15/the-new-strain-of-inequality-the-economic-impact-of-covid-19-in-new-york-city"
"wacities.org","October","/advocacy/news/advocacy-news/2020/03/13/legislature-adopts-final-supplemental-budgets-strong-revenue-is-tempered-by-concerns-over-the-economic-impacts-of-covid-19"
"www.wacities.org","October","/advocacy/News/advocacy-news/2020/07/06/economic-impact-of-the-covid-19-emergency-hit-home-for-cities-and-the-state"
"wittonlodge.org.uk",,"/the-economic-impact-of-covid19-a-birmingham-view/%7B%7B%20(%20service_type%20===%20'custom'%20)%20"
"wittonlodge.org.uk",,"/the-economic-impact-of-covid19-a-birmingham-view/%7B%7B%20(%20service_type%20===%20custom"
"wittonlodge.org.uk",,"/the-economic-impact-of-covid19-a-birmingham-view/%7B%7Bcontent.cta_url"
"wittonlodge.org.uk",,"/the-economic-impact-of-covid19-a-birmingham-view/%7B%7Bcontent.cta_url%7D%7D"
"www.hceb.org.uk",,"/blog/2020/9/9/press-release-new-research-published-into-the-economic-impacts-of-covid-19-on-heathrow"
"www.heritagefund.org.uk",,"/publications/economic-insight-impact-covid-19-march-2020"
"vista.today",,"/2021/01/ccedcs-17th-annual-economic-outlook-examines-impacts-of-covid-19-on-post-election-economy/"
"www.skornorth.com",,"/2020/04/the-economic-impact-of-covid-19-on-gophers-athletics/"
"www.skornorth.com",,"/the-economic-impact-of-covid-19-on-gophers-athletics/"
"thelevinelowdown.com",,"/2020/05/21/the-economic-impacts-of-covid-19/"
"www.coronaviral.org","February","/manufacturing/port-of-oakland-officials-wary-of-long-term-economic-impacts-of-covid-19-66628244"
"districtmeasured.com",,"/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"districtmeasured.com",,"/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"districtmeasured.com",,"/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"districtmeasured.com",,"/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"districtmeasured.com",,"/2020/07/07/using-high-frequency-data-for-real-time-tracking-of-the-economic-impact-of-covid-19-on-the-district-of-columbia/"
"wolfbridgefinancial.com",,"/blog/economic-impact-of-covid-19-3-next-steps-for-those-struggling-financially"
"www.wolfbridgewealth.com",,"/blog/economic-impact-of-covid-19-3-next-steps-for-those-struggling-financially"
"www.wolfbridgewealth.com",,"/blog/economic-impact-of-covid-19-3-next-steps-for-those-struggling-financially"
"www.wolftheiss.com",,"/focus-topics/detail/serbia-government-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak"
"www.wolftheiss.com",,"/focus-topics/detail/serbia-new-state-support-measures-to-alleviate-the-economic-impact-of-the-covid-19-outbreak"
"www.canada.ca",,"/en/department-finance/news/2020/03/additional-support-for-canadian-businesses-from-the-economic-impact-of-covid-19.html"
"blackboysincrisis.com",,"/a-triple-pandemic-the-economic-impacts-of-covid-19-disproportionately-affect-black-and-hispanic-households/"
"blackchronicle.com",,"/bprw-sbas-economic-injury-disaster-loans-and-advance-program-reopened-to-all-eligible-small-businesses-and-non-profits-impacted-by-covid-19-pandemic/"
"www.blackfootvalleydispatch.com",,"/story/2020/03/18/news/sba-offers-disaster-assistance-to-montana-small-businesses-economically-impacted-by-the-coronavirus-covid-19/1735.html"
"www.cetm.es",,"/asi-son-las-medidas-de-reactivacion-economica-frente-al-impacto-del-covid-19-en-el-transporte-maritimo-de-corta-distancia-tmcd/"
"www.cetm.es",,"/publicadas-en-el-boe-las-medidas-de-reactivacion-economica-frente-al-impacto-del-covid-19-en-el-ambito-del-transporte/"
"cge.es",,"/remito-real-decreto-ley-26-2020-de-7-de-julio-de-medidas-de-reactivacion-economica-para-hacer-frente-al-impacto-del-covid-19-en-los-ambitos-de-transporte-y-vivienda/"
"newsouls.ir",,"/2020/07/09/report-ironman-indian-wells-la-quinta-has-near-10m-economic-impact-2020-event-depends-on-covid-19/"
"www.lexisnexis.co.za",,"/webinars/socio-economic-impact/register-for-our-covid-19-socio-economic-webinar"
"treasury.govt.nz","October","/publications/aide-memoire/aide-memoire-t2020-274-macroeconomic-impact-covid-19-new-zealand-economy-update-14-february-2020"
"nzinitiative.org.nz","October","/reports-and-media/media/new-report-new-zealand-should-move-to-short-time-work-model-to-reduce-economic-impact-of-covid-19/"
"www.bahamas.gov.bs","October","/wps/portal/public/news%20and%20press%20release/prime%20minister%20minnis%20govt%20planning%20for%20economic%20impact%20of%20covid-19/!ut/p/b0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOKN3f19A51NLHwtzEwsDTwNQ_w8XVwDjN2NDfULsh0VAXJVZGQ!/"
"therapoid.net",,"/en/forums/forum/economic-impact-of-covid19-264/topic/how-did-the-covid19-pandemic-impact-us-economic-a-timeline-of-impactful-events-208/None"
"therapoid.net",,"/en/forums/forum/economic-impact-of-covid19-264/topic/how-did-the-covid19-pandemic-impact-us-economic-a-timeline-of-impactful-events-208/post/create/"
"www.therapoid.net",,"/en/forums/forum/economic-impact-of-covid19-264/topic/how-did-the-covid19-pandemic-impact-us-economic-a-timeline-of-impactful-events-208/post/create/"
"www.indiaenvironmentportal.org.in","October","/reports-documents/economic-impact-covid-19-outbreak-developing-asia"
"economics.princeton.edu",,"/events/raj-chetty-on-the-economic-impacts-of-covid-19-real-time-evidence-from-private-sector-data/combined-slides-11/"
"economics.princeton.edu",,"/events/raj-chetty-on-the-economic-impacts-of-covid-19-real-time-evidence-from-private-sector-data/download-1/"
"www.peihrtoolkit.ca",,"/eenhanced-employment-and-economic-opportunities-for-island-students-impacted-by-covid-19/"
"www.petawawa.ca",,"/business/economic-development/business-supports-for-sme-s-impacted-by-covid-19/canada-emergency-commercial-rent-assistance-cecra-1980.html"
"www.niemanlab.org",,"/2020/11/smaller-and-nonprofit-newsrooms-are-weathering-the-economic-impact-of-covid-19-better-than-most-according-to-one-survey"
"www.njtvonline.org",,"/programs/state-affairs-steve-adubato/roi-editor-economic-impact-covid-19-nj-hmfkxv/"
"www.nationalbankers.org",,"/forum/general-discussions/the-economic-impact-of-covid-19"
"act.nationalnursesunited.org",,"/page/s/healing-the-social-and-economic-impacts-of-covid-19"
"www.appsforhealthykids.com","October","/how-singapore-is-coping-up-with-the-economic-impact-of-covid-19/"
"www.appsforhealthykids.com","October","/how-singapore-is-coping-up-with-the-economic-impact-of-covid-19/"
"ryersonian.ca","October","/trudeau-expands-summer-jobs-program-to-help-students-manage-economic-impacts-of-covid-19/%3C%25=%20attributes.url%20%25%3E"
"ryersonian.ca","October","/trudeau-expands-summer-jobs-program-to-help-students-manage-economic-impacts-of-covid-19/%3C%25=%20track.product_url%20%7C%7C%20''%20%25%3E"
"ryersonian.ca","October","/trudeau-expands-summer-jobs-program-to-help-students-manage-economic-impacts-of-covid-19/%3C%25=%20track.soundcloud_url%20%7C%7C%20''%20%25%3E"
"ryersonian.ca","October","/trudeau-expands-summer-jobs-program-to-help-students-manage-economic-impacts-of-covid-19/sonian@ryerson.ca"
"www.merrickville-wolford.ca","October","/office-mobile/public-communications/public-notices/provincial-survey-on-economic-impact-of-covid-19"
"www.petawawa.ca","October","/business/economic-development/business-supports-for-sme-impacted-by-covid-19/ontario-small-business-recovery-resources-5973.html"
"fordschool.umich.edu",,"/news/2020/ford-school-economists-immediate-action-can-mitigate-economic-impact-covid-19"
"fordschool.umich.edu",,"/video/2020/h-luke-shaefer-economic-impacts-covid-19"
"fordschool.umich.edu",,"/video/2020/h-luke-shaefer-economic-impacts-covid-19"
"dailystockadvisor.com",,"/charts-the-economic-impact-of-covid-19-in-the-u-s-so-far-visual-capitalist/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"iorma.com","March","/flash-survey-the-social-and-economic-impacts-of-the-covid-19-coronavirus-pandemic/"
"mantras.tv","October","/2020/10/09/nam-countries-must-work-to-reduce-the-socio-economic-impact-of-covid-19-on-vulnerable-sections-muraleedharan__trashed/"
"financialit.net","October","/news/mastercard-and-pfs-launch-worlds-first-card-based-stimulus-scheme-tackle-economic-impact-covid"
"financialit.net","October","/news/state-street-provide-central-banks-pricestats-inflation-indicators-assess-economic-impact-covid"
"www.qatar-tribune.com","October","/news-details/id/193123/-qatar-takes-slew-of-measures-to-address-social-and-economic-impact-of-covid-19-"
"www.medicusmundi.ch",,"/fr/priorites/le-corona-et-la-cooperation-internationale/covid-19-dans-le-sud-du-monde/the-economic-impact-of-covid-19-in-low-and-middle-income-countries"
"blackamericans.com",,"/business-news/174077-fed-survey-finds-modest-economic-gains-at-start-of-year-although-some-areas-noted-impact-of-rising-covid-cases"
"www.aba.com",,"/training-events/online-training/the-economic-impacts-of-the-covid-19-pandemic-and-2020-election"
"ccmoianes.webmunicipal.diba.cat",,"/actualitat/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya/impacte-economic-i-social-de-la-covid-19-al-moianes-i-catalunya-informe-num-1-marc-2020/"
"www.ghita.cat",,"/1000047-obert-el-periode-de-sol-licitud-dels-ajuts-economics-de-l-39-ajuntament-de-vandellos-i-l-39-hospitalet-de-l-39-infant-per-reduir-l-39-impacte-negatiu-de-la-crisi-de-la-covid-19/"
"govern.cat",,"/gov/prosperitat-economica/574-coneixement-innovacio/384543/consellera-chacon-analitza-impacte-covid-19-sector-automocio"
"x29.co",,"/mehmet/category/economic-impact-of-covid/"
"mofep.gov.gh",,"/news-and-events/2020-03-30/statement-to-parliament-on-economic-impact-of-the-covid-19-pandemic-on-the-economy-of-ghana"
"wisconsintechnologycouncil.com",,"/wisbusiness-wedc-submitted-a-150-page-report-to-lawmakers-and-gov-tony-evers-assessing-the-ongoing-economic-impact-of-the-covid-19/"
"yaleglobal.yale.edu",,"/content/economic-impacts-covid-19"
"p3rc.uic.edu",,"/news-stories/p3rc-director-lisa-powell-joins-the-economic-and-fiscal-impact-group-to-assess-the-impact-of-covid-19-across-illinois/"
"taiwanenglishnews.com",,"/taiwan-shows-lowest-economic-impact-due-to-covid-19-among-38-countries-analysed/"
"taiwanonlinenews.com",,"/taipei-unveils-measures-to-counter-economic-impact-of-covid-19/"
"multimedia.europarl.europa.eu","October","/de/eu-measures-to-mitigate-social-and-economic-impact-of-covid-19-extracts-from-the-debate_I197684-V_v"
"multimedia.europarl.europa.eu","October","/fr/eu-measures-to-mitigate-social-and-economic-impact-of-covid-19-extracts-from-the-debate_I197684-V_v"
"multimedia.europarl.europa.eu","October","/ga/eu-measures-to-mitigate-social-and-economic-impact-of-covid-19-extracts-from-the-debate_I197684-V_v"
