,url_host_name,sample_path,Month
0,www.thecipherbrief.com,/%E2%80%A2%09https:/www.eastasiaforum.org/2020/05/17/growth-interrupted-covid-19-and-chinas-2020-economic-outlook,July
1,www.bccprogramme.org,/1/post/2020/04/the-economic-impact-of-the-covid19-on-emerging-economies-what-do-we-know-and-what-are-the-challenges.html,September
2,www.kcarstens.com,/1/post/2020/09/covid-economic-update-is-a-second-stimulus-on-the-horizon.html,October
3,spartanspeaks.com,/16187/covid-19-updates/economic-impact-of-covid-19/,May
4,spartanspeaks.com,/16229/covid-19-updates/economic-impacts-of-covid-19/,May
5,www.qldc.govt.nz,/20-06-05-council-vows-to-fight-the-economic-impact-of-covid-19/,July
6,www.conjur.com.br,/2020-jul-30/olhar-economico-impactos-crise-covid-19-direito-antitruste,August
7,us-issues.com,/2020/02/25/covid-19-coronavirus-economic-impact-sweeps-down-on-global-economy-like-a-fat-black-swan/,May
8,www.afmedios.com,/2020/02/covid-19-ha-generado-impactos-economicos-y-turisticos-oaci/,February
9,flightchic.com,/2020/03/11/copenhagen-airport-warns-of-covid-19-economic-crisis/,March
10,europatropical.net,/2020/03/12/el-gobierno-moviliza-18-225-millones-en-un-plan-de-medidas-economicas-para-mitigar-el-impacto-del-covid-19/,May
11,jamiecallowayhanauer.com,/2020/03/12/foreign-virus-harvey-weinstein-and-what-covid-19-is-teaching-us-about-economics-in-america/,March
12,www.grupohob.es,/2020/03/16/medidas-economicas-del-gobierno-para-mitigar-el-impacto-del-covid-19/,July
13,nassersaidi.com,/2020/03/17/comments-on-the-economic-impact-from-covid19-in-washington-post-16-mar-2020/,July
14,latintrade.com,/2020/03/18/argentina-anuncia-medidas-para-paliar-el-impacto-economico-de-la-pandemia-del-covid-19/,March
15,dialogosessenciais.com,/2020/03/18/carta-aberta-de-professores-do-instituto-de-economia-da-ufrj-impacto-economico-da-covid-19-e-medidas-de-combate-a-crise-economica/,March
16,daedeluskite.com,/2020/03/18/covid19-and-global-economic-devastation/,March
17,yallpolitics.com,/2020/03/18/governor-tate-reeves-requests-economic-disaster-declaration-for-small-businesses-impacted-by-covid-19/@yallpolitics,October
18,www.aimchile.cl,/2020/03/19/conoce-las-medidas-economicas-anunciadas-por-el-gobierno-ante-el-impacto-del-covid-19/,March
19,www.aqua.cl,/2020/03/19/covid-19-en-que-consiste-el-plan-de-emergencia-economica-anunciado-por-el-gobierno/,March
20,www.1230theteam.com,/2020/03/19/covid-19-small-business-economic-injury/,March
