"url_host_name","Month","sample_path"
"scholars.okstate.edu",,"/en/publications/action--economic-impacts-of-covid-19-on-revenues-of-the-state-of-oklahoma/"
"www.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"news.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"research4kids.ucalgary.ca",,"/news/business-unusual-economic-impact-covid-19"
"www.gmchamber.co.uk","November","/news-opinions/quarterly-economic-survey-shows-unprecedented-impact-of-covid-19/"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement/"
"www.anthropology.net",,"/2020/06/18/a-partial-perspective-dr-dillon-mahoney-and-the-economic-impacts-of-covid19-research-on-refugee-resettlement"
"cabar.asia","May","/en/is-tajikistan-ready-for-the-economic-and-social-impact-of-the-covid-19-pandemic/"
"investinginwomen.asia","May","/knowledge/shared-responsibility-global-solidarity-responding-socio-economic-impacts-covid-19/"
"www.lolwe.tv",,"/business/national-treasury-cs-during-the-launch-of-the-report-on-socio-economic-impact-of-covid-19-on-households/"
"www.futurithmic.com","May","/2020/04/21/how-industries-weather-economic-impact-covid-19/"
"extranewsgo.com","May","/2020/03/27/governo-anuncia-medidas-economicas-contra-impactos-da-covid-19/"
"panoramahispanonews.com","May","/businesses-feel-deep-economic-impact-from-covid-19/"
"papajackph.com","May","/2020/05/05/economic-impact-of-covid19/"
"papajackph.com","May","/2020/05/05/economic-impact-of-covid19/"
"www.fitchsolutions.com","May","/country-risk-sovereigns/economics/cambodian-economy-reel-under-impact-covid-19-pandemic-07-04-2020"
"westpeakproperties.com",,"/2020/09/02/what-investors-need-to-know-about-the-economic-impacts-of-covid-19/"
"community.namati.org",,"/t/human-rights-mental-health-and-the-socio-economic-impact-of-covid-19-on-lgbtiq-persons-in-zimbabwe/80103"
"akcareers.com",,"/grubhub-and-major-cities-across-the-u-s-launch-economic-relief-effort-up-to-100-million-for-independent-restaurants-and-delivery-partners-impacted-by-covid-19/"
"seller.alibaba.com",,"/businessblogs/pxs1unbk-actions-taken-by-12-countries-to-minimize-economic-impact-from-covid19"
"www.agorize.com",,"/en/challenges/nowcasting-the-economic-impact-of-covid-19"
"mmaingenieria.es",,"/real-decreto-ley-26-2020-de-7-de-julio-de-medidas-de-reactivacion-economica-para-hacer-frente-al-impacto-del-covid-19-en-los-ambitos-de-transportes-y-vivienda/"
